query,before_retrieved_sources,after_retrieved_sources,changed
Кто основал психоанализ и какие идеи лежат в его основе?,"doc_01, doc_20, doc_02","doc_01, doc_20, doc_02",False
Что такое бессознательное в психоанализе??,"doc_02, doc_01, doc_13","doc_02, doc_13, doc_01",False
Из каких частей состоит структура личности по Фрейду?,"doc_13, doc_06","doc_13, doc_16",True
Какие защитные механизмы психики выделяет психоанализ?,"doc_20, doc_01, doc_02	","doc_20, doc_01, doc_21",True
Почему сновидения важны для психоанализа?,"doc_05, doc_02, doc_08","doc_05, doc_02, doc_017",True
Какие стадии психосексуального развития описывает Фрейд?,"doc_06, doc_20, doc_07	","doc_06, doc_01, doc_20",True
Как рассматривал Фрейд великие произведения культуры?,"doc_15, doc_13, doc_01","doc_23, doc_15, doc_22",True
Что подчеркивал Лакан?,"doc_03, doc_08, doc_16","doc_23, doc_03",True
